Expense,Account,Amount,Category,Date,Notes
Inauguration Sweet,Nifli CTO,215,Food,2025-09-01,Ladu
N7 Domain Purchase,Nifal CEO|Minhaj COO|Nifli CTO,300,Utilities,2025-09-02,N7
Sim,Nifli CTO,100,Utilities,2025-09-11,
T-Shirt,Nifli CTO|Minhaj COO|Nifal CEO,400,Other,2025-09-16,
Marker,N7 Main Account,10,Utilities,2025-09-30,
White board and accessories,N7 Main Account,1115,Utilities,2025-09-30,
Rent,N7 Main Account,3000,Rent,2025-09-30,
Hostinger purchase,N7 Main Account,2481,Other,2025-10-09,
Food,N7 Main Account,570,Food,2025-10-11,
Petrol,N7 Main Account,60,Travel,2025-10-14,
Mobile recharge,N7 Main Account,147,Utilities,2025-10-15,
Rent,N7 Main Account,3000,Rent,2025-10-30,
Monthly Salary for Co-founders,N7 Main Account,15000,Salary,2025-10-31,Done
Sim Purchase for sales (Julaila),N7 Main Account,350,Utilities,2025-11-04,
Mobile Recharge (company),N7 Main Account,147,Utilities,2025-11-12,
Petrol Ladies Planet,Nifal CEO,120,Travel,2025-11-19,
November Space Rent,N7 Main Account,3000,Rent,2025-12-01,
Shkhin domain purchased,N7 Main Account,2713.80,Other,2025-12-02,
Faraha sim,N7 Main Account,856,Utilities,2025-12-06,
Julaila sim recharge,N7 Main Account,189,Utilities,2025-12-08,
Tea for team,N7 Main Account,150,Utilities,2025-12-05,
Minhaj salary,N7 Main Account,500,Salary,2025-12-02,
Snacks for nuro 7,N7 Main Account,50,Food,2025-12-09,
Muneer return 250,N7 Main Account,250,Other,2025-12-09,
Monthly salary,N7 Main Account,14500,Salary,2025-12-09,
Office Space Search Vehicle Fuel,N7 Main Account,500,Travel,2025-12-15,
Company Sim recharge (9446617877),N7 Main Account,148.90,Utilities,2025-12-15,
Food,N7 Main Account,620,Food,2025-12-16,
Office space search fuel,N7 Main Account,200,Travel,2025-12-16,
Julaila sales share amount gis project,N7 Main Account,6300,Salary,2025-12-16,
Fuel for client visit (Blush Glow),N7 Main Account,250,Travel,2025-12-20,
GIS theme purchase,N7 Main Account,5279.18,Utilities,2025-12-23,
Signa space advance,N7 Main Account,10000,Rent,2025-12-25,
GIS (GST and tax),N7 Main Account,218,Utilities,2025-12-23,
Monthly rent for Signa space,N7 Main Account,10000,Rent,2025-12-28,The rent paid to editor Shamil account
Monthly rent for Raihsoft,N7 Main Account,3750,Rent,2025-12-29,
Nuro 7 sticker printing,N7 Main Account,100,Utilities,2025-12-29,
Water bottle (utilities),N7 Main Account,65,Utilities,2025-12-30,
Calicut Start-up fest ticket booking,N7 Main Account,597,Utilities,2025-12-30,
